Name,Recom_CPU_Max_Temp,Min_CPU_Lithography,Min_CPU_Physical_Cores,Recom_CPU_CPU_Speed,Recom_CPU_Lithography,Min_GPU_Memory,Min_GPU_Memory_Speed,Min_GPU_Direct_X,Min_GPU_Pixel_Rate,Min_GPU_Texture_Rate,Min_GPU_Memory_Bandwidth,Min_OS_Coded,Recom_OS_Coded,Min_HDD_Coded,Recom_HDD_Coded,Min_DirectX_coded
Age of Darkness: Final Stand,0.0,23.0,7.0,3.35,7.0,4096.0,1751.5,12.0,53.5,152.5,224.2,1064,1064,5.0,5.0,11
Myst (2021),36.5,14.0,3.0,3.4,18.0,4096.0,1751.0,12.05,42.5,113.0,168.05,1064,1064,20.0,20.0,11
Griefhelm,69.5,55.0,4.0,2.75,38.5,1152.0,943.5,11.0,26.5,42.0,134.15,764,1064,4.0,4.0,11
Gleamlight,36.5,27.0,4.0,3.4,27.0,2560.0,1501.0,11.15,32.5,113.5,240.15,1064,1064,10.0,10.0,11
Sherlock Holmes Chapter One,36.5,38.5,3.0,3.75,27.0,2048.0,1487.5,11.6,17.5,53.5,95.2,764,764,40.0,40.0,11
Titan Quest: Immortal Throne,0.0,180.0,1.0,2.5835,110.0,64.0,375.0,8.1,0.0,0.0,6.0,200,132,5.0,5.0,9
Argo,67.5,77.5,2.0,2.9,38.5,384.0,865.0,10.05,10.5,22.5,42.1,232,764,15.0,25.0,10
StarCraft II: Wings of Liberty,35.5,130.0,1.0,2.15,65.0,384.0,450.0,10.0,8.5,10.5,43.2,132,232,12.0,12.0,9
Crowns and Pawns: Kingdom of Deceit,30.5,180.0,1.0,2.8,55.0,256.0,600.0,10.0,2.0,3.0,8.0,764,1064,4.0,4.0,10
Dirt 3,36.5,65.0,2.0,2.95,45.0,256.0,600.0,10.0,3.0,7.0,19.2,132,732,15.0,15.0,9
Dear Esther: Landmark Edition,30.0,90.0,1.0,2.65,65.0,128.0,237.5,9.0,0.0,0.0,3.8,132,132,2.0,2.0,9
Franchise Hockey Manager 4,30.5,180.0,1.0,2.8,55.0,256.0,600.0,10.0,2.0,3.0,8.0,764,1064,6.0,6.0,10
Headlander,37.0,65.0,2.0,3.23,45.0,128.0,255.0,10.05,4.0,14.0,8.15,132,764,2.0,2.0,9
Dishonored II,36.5,32.0,6.0,3.7,27.0,2560.0,1438.5,11.1,27.5,100.5,204.1,764,1064,60.0,60.0,11
Dr Who Episode 5 - The Gunpowder Plot,66.5,130.0,1.0,1.85,65.0,192.0,525.0,9.5,1.5,3.0,16.799999999999997,132,132,1.5,1.5,9
